Nifty 50,Nifty 100,Nifty 500,Nifty 200,Nifty Bank,Nifty IT,Nifty Pharma,Nifty Auto,Nifty Financial Services,Nifty FMCG,Nifty Healthcare,Nifty Media,Nifty Metal,Nifty Private Bank,Nifty PSU Bank,Nifty Oil and Gas ,Nifty MidCap
,,GMRINFRA,SUPREMEIND,,,,,,,,,,,,,
,,GRSE,SUZLON,,,,,,,,,,,,,
,,GICRE,SYNGENE,,,,,,,,,,,,,
,,GILLETTE,TVSMOTOR,,,,,,,,,,,,,
,,GLAND,TATACHEM,,,,,,,,,,,,,
,,GLAXO,TATACOMM,,,,,,,,,,,,,
,,GLS,TCS,,,,,,,,,,,,,
,,GLENMARK,TATACONSUM,,,,,,,,,,,,,
,,MEDANTA,TATAELXSI,,,,,,,,,,,,,
,,GPIL,TATAMTRDVR,,,,,,,,,,,,,
,,GODFRYPHLP,TATAMOTORS,,,,,,,,,,,,,
,,GODREJCP,TATAPOWER,,,,,,,,,,,,,
,,GODREJIND,TATASTEEL,,,,,,,,,,,,,
,,GODREJPROP,TATATECH,,,,,,,,,,,,,
,,GRANULES,TECHM,,,,,,,,,,,,,
,,GRAPHITE,TITAN,,,,,,,,,,,,,
,,GRASIM,TORNTPHARM,,,,,,,,,,,,,
,,GESHIP,TORNTPOWER,,,,,,,,,,,,,
,,GRINDWELL,TRENT,,,,,,,,,,,,,
,,GAEL,TIINDIA,,,,,,,,,,,,,
,,FLUOROCHEM,UPL,,,,,,,,,,,,,
,,GUJGASLTD,ULTRACEMCO,,,,,,,,,,,,,
,,GMDCLTD,UNIONBANK,,,,,,,,,,,,,
,,GNFC,MCDOWELL-N,,,,,,,,,,,,,
,,GPPL,VBL,,,,,,,,,,,,,
,,GSFC,VEDL,,,,,,,,,,,,,
,,GSPL,IDEA,,,,,,,,,,,,,
,,HEG,VOLTAS,,,,,,,,,,,,,
,,HBLPOWER,WIPRO,,,,,,,,,,,,,
,,HCLTECH,YESBANK,,,,,,,,,,,,,
,,HDFCAMC,ZEEL,,,,,,,,,,,,,
,,HDFCBANK,ZOMATO,,,,,,,,,,,,,
,,HDFCLIFE,ZYDUSLIFE,,,,,,,,,,,,,
,,HFCL,,,,,,,,,,,,,,
,,HAPPSTMNDS,,,,,,,,,,,,,,
,,HAPPYFORGE,,,,,,,,,,,,,,
,,HAVELLS,,,,,,,,,,,,,,
,,HEROMOTOCO,,,,,,,,,,,,,,
,,HSCL,,,,,,,,,,,,,,
,,HINDALCO,,,,,,,,,,,,,,
,,HAL,,,,,,,,,,,,,,
,,HINDCOPPER,,,,,,,,,,,,,,
,,HINDPETRO,,,,,,,,,,,,,,
,,HINDUNILVR,,,,,,,,,,,,,,
,,HINDZINC,,,,,,,,,,,,,,
,,POWERINDIA,,,,,,,,,,,,,,
,,HOMEFIRST,,,,,,,,,,,,,,
,,HONASA,,,,,,,,,,,,,,
,,HONAUT,,,,,,,,,,,,,,
,,HUDCO,,,,,,,,,,,,,,
,,ICICIBANK,,,,,,,,,,,,,,
,,ICICIGI,,,,,,,,,,,,,,
,,ICICIPRULI,,,,,,,,,,,,,,
,,ISEC,,,,,,,,,,,,,,
,,IDBI,,,,,,,,,,,,,,
,,IDFCFIRSTB,,,,,,,,,,,,,,
,,IDFC,,,,,,,,,,,,,,
,,IIFL,,,,,,,,,,,,,,
,,IRB,,,,,,,,,,,,,,
,,IRCON,,,,,,,,,,,,,,
,,ITC,,,,,,,,,,,,,,
,,ITI,,,,,,,,,,,,,,
,,INDIACEM,,,,,,,,,,,,,,
,,IBULHSGFIN,,,,,,,,,,,,,,
,,INDIAMART,,,,,,,,,,,,,,
,,INDIANB,,,,,,,,,,,,,,
,,IEX,,,,,,,,,,,,,,
,,INDHOTEL,,,,,,,,,,,,,,
,,IOC,,,,,,,,,,,,,,
,,IOB,,,,,,,,,,,,,,
,,IRCTC,,,,,,,,,,,,,,
,,IRFC,,,,,,,,,,,,,,
,,INDIGOPNTS,,,,,,,,,,,,,,
,,IGL,,,,,,,,,,,,,,
,,INDUSTOWER,,,,,,,,,,,,,,
,,INDUSINDBK,,,,,,,,,,,,,,
,,NAUKRI,,,,,,,,,,,,,,
,,INFY,,,,,,,,,,,,,,
,,INOXWIND,,,,,,,,,,,,,,
,,INTELLECT,,,,,,,,,,,,,,
,,INDIGO,,,,,,,,,,,,,,
,,IPCALAB,,,,,,,,,,,,,,
,,JBCHEPHARM,,,,,,,,,,,,,,
,,JKCEMENT,,,,,,,,,,,,,,
,,JBMA,,,,,,,,,,,,,,
,,JKLAKSHMI,,,,,,,,,,,,,,
,,JKPAPER,,,,,,,,,,,,,,
,,JMFINANCIL,,,,,,,,,,,,,,
,,JSWENERGY,,,,,,,,,,,,,,
,,JSWINFRA,,,,,,,,,,,,,,
,,JSWSTEEL,,,,,,,,,,,,,,
,,JAIBALAJI,,,,,,,,,,,,,,
,,J&KBANK,,,,,,,,,,,,,,
,,JINDALSAW,,,,,,,,,,,,,,
,,JSL,,,,,,,,,,,,,,
,,JINDALSTEL,,,,,,,,,,,,,,
,,JIOFIN,,,,,,,,,,,,,,
,,JUBLFOOD,,,,,,,,,,,,,,
,,JUBLINGREA,,,,,,,,,,,,,,
,,JUBLPHARMA,,,,,,,,,,,,,,
,,JWL,,,,,,,,,,,,,,
,,JUSTDIAL,,,,,,,,,,,,,,
,,JYOTHYLAB,,,,,,,,,,,,,,
,,KPRMILL,,,,,,,,,,,,,,
,,KEI,,,,,,,,,,,,,,
,,KNRCON,,,,,,,,,,,,,,
,,KPITTECH,,,,,,,,,,,,,,
,,KRBL,,,,,,,,,,,,,,
,,KSB,,,,,,,,,,,,,,
,,KAJARIACER,,,,,,,,,,,,,,
,,KPIL,,,,,,,,,,,,,,
,,KALYANKJIL,,,,,,,,,,,,,,
,,KANSAINER,,,,,,,,,,,,,,
,,KARURVYSYA,,,,,,,,,,,,,,
,,KAYNES,,,,,,,,,,,,,,
,,KEC,,,,,,,,,,,,,,
,,KFINTECH,,,,,,,,,,,,,,
,,KOTAKBANK,,,,,,,,,,,,,,
,,KIMS,,,,,,,,,,,,,,
,,L&TFH,,,,,,,,,,,,,,
,,LTTS,,,,,,,,,,,,,,
,,LICHSGFIN,,,,,,,,,,,,,,
,,LTIM,,,,,,,,,,,,,,
,,LT,,,,,,,,,,,,,,
,,LATENTVIEW,,,,,,,,,,,,,,
,,LAURUSLABS,,,,,,,,,,,,,,
,,LXCHEM,,,,,,,,,,,,,,
,,LEMONTREE,,,,,,,,,,,,,,
,,LICI,,,,,,,,,,,,,,
,,LINDEINDIA,,,,,,,,,,,,,,
,,LLOYDSME,,,,,,,,,,,,,,
,,LUPIN,,,,,,,,,,,,,,
,,MMTC,,,,,,,,,,,,,,
,,MRF,,,,,,,,,,,,,,
,,MTARTECH,,,,,,,,,,,,,,
,,LODHA,,,,,,,,,,,,,,
,,MGL,,,,,,,,,,,,,,
,,MAHSEAMLES,,,,,,,,,,,,,,
,,M&MFIN,,,,,,,,,,,,,,
,,M&M,,,,,,,,,,,,,,
,,MHRIL,,,,,,,,,,,,,,
,,MAHLIFE,,,,,,,,,,,,,,
,,MANAPPURAM,,,,,,,,,,,,,,
,,MRPL,,,,,,,,,,,,,,
,,MANKIND,,,,,,,,,,,,,,
,,MARICO,,,,,,,,,,,,,,
,,MARUTI,,,,,,,,,,,,,,
,,MASTEK,,,,,,,,,,,,,,
,,MFSL,,,,,,,,,,,,,,
,,MAXHEALTH,,,,,,,,,,,,,,
,,MAZDOCK,,,,,,,,,,,,,,
,,MEDPLUS,,,,,,,,,,,,,,
,,METROBRAND,,,,,,,,,,,,,,
,,METROPOLIS,,,,,,,,,,,,,,
,,MINDACORP,,,,,,,,,,,,,,
,,MSUMI,,,,,,,,,,,,,,
,,MOTILALOFS,,,,,,,,,,,,,,
,,MPHASIS,,,,,,,,,,,,,,
,,MCX,,,,,,,,,,,,,,
,,MUTHOOTFIN,,,,,,,,,,,,,,
,,NATCOPHARM,,,,,,,,,,,,,,
,,NBCC,,,,,,,,,,,,,,
,,NCC,,,,,,,,,,,,,,
,,NHPC,,,,,,,,,,,,,,
,,NLCINDIA,,,,,,,,,,,,,,
,,NMDC,,,,,,,,,,,,,,
,,NSLNISP,,,,,,,,,,,,,,
,,NTPC,,,,,,,,,,,,,,
,,NH,,,,,,,,,,,,,,
,,NATIONALUM,,,,,,,,,,,,,,
,,NAVINFLUOR,,,,,,,,,,,,,,
,,NESTLEIND,,,,,,,,,,,,,,
,,NETWORK18,,,,,,,,,,,,,,
,,NAM-INDIA,,,,,,,,,,,,,,
,,NUVAMA,,,,,,,,,,,,,,
,,NUVOCO,,,,,,,,,,,,,,
,,OBEROIRLTY,,,,,,,,,,,,,,
,,ONGC,,,,,,,,,,,,,,
,,OIL,,,,,,,,,,,,,,
,,OLECTRA,,,,,,,,,,,,,,
,,PAYTM,,,,,,,,,,,,,,
,,OFSS,,,,,,,,,,,,,,
,,POLICYBZR,,,,,,,,,,,,,,
,,PCBL,,,,,,,,,,,,,,
,,PIIND,,,,,,,,,,,,,,
,,PNBHOUSING,,,,,,,,,,,,,,
,,PNCINFRA,,,,,,,,,,,,,,
,,PVRINOX,,,,,,,,,,,,,,
,,PAGEIND,,,,,,,,,,,,,,
,,PATANJALI,,,,,,,,,,,,,,
,,PERSISTENT,,,,,,,,,,,,,,
,,PETRONET,,,,,,,,,,,,,,
,,PHOENIXLTD,,,,,,,,,,,,,,
,,PIDILITIND,,,,,,,,,,,,,,
,,PEL,,,,,,,,,,,,,,
,,PPLPHARMA,,,,,,,,,,,,,,
,,POLYMED,,,,,,,,,,,,,,
,,POLYCAB,,,,,,,,,,,,,,
,,POONAWALLA,,,,,,,,,,,,,,
,,PFC,,,,,,,,,,,,,,
,,POWERGRID,,,,,,,,,,,,,,
,,PRAJIND,,,,,,,,,,,,,,
,,PRESTIGE,,,,,,,,,,,,,,
,,PRINCEPIPE,,,,,,,,,,,,,,
,,PRSMJOHNSN,,,,,,,,,,,,,,
,,PGHH,,,,,,,,,,,,,,
,,PNB,,,,,,,,,,,,,,
,,QUESS,,,,,,,,,,,,,,
,,RRKABEL,,,,,,,,,,,,,,
,,RBLBANK,,,,,,,,,,,,,,
,,RECLTD,,,,,,,,,,,,,,
,,RHIM,,,,,,,,,,,,,,
,,RITES,,,,,,,,,,,,,,
,,RADICO,,,,,,,,,,,,,,
,,RVNL,,,,,,,,,,,,,,
,,RAILTEL,,,,,,,,,,,,,,
,,RAINBOW,,,,,,,,,,,,,,
,,RAJESHEXPO,,,,,,,,,,,,,,
,,RKFORGE,,,,,,,,,,,,,,
,,RCF,,,,,,,,,,,,,,
,,RATNAMANI,,,,,,,,,,,,,,
,,RTNINDIA,,,,,,,,,,,,,,
,,RAYMOND,,,,,,,,,,,,,,
,,REDINGTON,,,,,,,,,,,,,,
,,RELIANCE,,,,,,,,,,,,,,
,,RBA,,,,,,,,,,,,,,
,,ROUTE,,,,,,,,,,,,,,
,,SBFC,,,,,,,,,,,,,,
,,SBICARD,,,,,,,,,,,,,,
,,SBILIFE,,,,,,,,,,,,,,
,,SJVN,,,,,,,,,,,,,,
,,SKFINDIA,,,,,,,,,,,,,,
,,SRF,,,,,,,,,,,,,,
,,SAFARI,,,,,,,,,,,,,,
,,MOTHERSON,,,,,,,,,,,,,,
,,SANOFI,,,,,,,,,,,,,,
,,SAPPHIRE,,,,,,,,,,,,,,
,,SAREGAMA,,,,,,,,,,,,,,
,,SCHAEFFLER,,,,,,,,,,,,,,
,,SCHNEIDER,,,,,,,,,,,,,,
,,SHREECEM,,,,,,,,,,,,,,
,,RENUKA,,,,,,,,,,,,,,
,,SHRIRAMFIN,,,,,,,,,,,,,,
,,SHYAMMETL,,,,,,,,,,,,,,
,,SIEMENS,,,,,,,,,,,,,,
,,SIGNATURE,,,,,,,,,,,,,,
,,SOBHA,,,,,,,,,,,,,,
,,SOLARINDS,,,,,,,,,,,,,,
,,SONACOMS,,,,,,,,,,,,,,
,,SONATSOFTW,,,,,,,,,,,,,,
,,STARHEALTH,,,,,,,,,,,,,,
,,SBIN,,,,,,,,,,,,,,
,,SAIL,,,,,,,,,,,,,,
,,SWSOLAR,,,,,,,,,,,,,,
,,STLTECH,,,,,,,,,,,,,,
,,SUMICHEM,,,,,,,,,,,,,,
,,SPARC,,,,,,,,,,,,,,
,,SUNPHARMA,,,,,,,,,,,,,,
,,SUNTV,,,,,,,,,,,,,,
,,SUNDARMFIN,,,,,,,,,,,,,,
